,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
113,16628.0,16908.0,16768.0,41,0.0,0.0,0.0,10,Anaheim,41,693235,82,1998,0
114,15605.0,16864.0,16235.0,41,0.0,0.0,0.0,11,Calgary,41,691457,82,1998,0
115,15252.0,16750.0,16001.0,41,0.0,0.0,0.0,12,Ottawa,41,686787,82,1998,0
116,16331.0,16489.0,16410.0,41,0.0,0.0,0.0,13,Dallas,41,676053,82,1998,0
117,15786.0,16244.0,16015.0,41,0.0,0.0,0.0,14,Edmonton,41,666033,82,1998,0
118,17108.0,16061.0,16584.0,41,0.0,0.0,0.0,15,Colorado,41,658501,82,1998,0
119,16406.0,15707.0,16057.0,41,0.0,0.0,0.0,16,Toronto,41,644003,82,1998,0
120,15437.0,15634.0,15536.0,41,0.0,0.0,0.0,17,Buffalo,41,641034,82,1998,0
121,16525.0,15404.0,15965.0,41,0.0,0.0,0.0,18,Arizona,41,631591,82,1998,0
122,15470.0,15275.0,15372.0,41,0.0,0.0,0.0,19,Washington,41,626285,82,1998,0
123,16507.0,15097.0,15802.0,41,0.0,0.0,0.0,20,Boston,41,619006,82,1998,0
124,16589.0,15070.0,15829.0,41,0.0,0.0,0.0,21,Pittsburgh,41,617905,82,1998,0
125,15657.0,14703.0,15180.0,41,0.0,0.0,0.0,22,Florida,41,602823,82,1998,0
126,15585.0,13866.0,14726.0,41,0.0,0.0,0.0,23,Tampa Bay,41,568530,82,1998,0
127,15949.0,13019.0,14484.0,41,0.0,0.0,0.0,24,Los Angeles,41,533792,82,1998,0
128,15810.0,12253.0,14032.0,41,0.0,0.0,0.0,25,NY Islanders,41,502410,82,1998,0
129,15896.0,9106.0,12501.0,41,0.0,0.0,0.0,26,Carolina,41,373349,82,1998,0
130,16256.0,20740.0,18498.0,41,0.0,0.0,0.0,1,Montreal,41,850371,82,1999,0
131,17655.0,19983.0,18819.0,41,0.0,0.0,0.0,2,Detroit,41,819303,82,1999,0
132,16852.0,19612.0,18232.0,41,0.0,0.0,0.0,3,Philadelphia,41,804105,82,1999,0
133,16018.0,18493.0,17255.0,41,0.0,0.0,0.0,4,Florida,41,758245,82,1999,0
134,0.0,0.0,0.0,749334,82.0,41.0,,5,41,16332,18276,17304,1999,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      0.0
6      NaN
7      NaN
8      NaN
9      NaN
10     NaN
11     NaN
12     NaN
13     NaN
14     NaN
15     NaN
16     NaN
17     NaN
18     NaN
19     NaN
20     NaN
21     NaN
22     NaN
23     NaN
24     NaN
25     NaN
26     NaN
27     NaN
28     NaN
29     0.0
      ... 
635    0.0
636    0.0
637    0.0
638    0.0
639    0.0
640    0.0
641    0.0
642    0.0
643    0.0
644    0.0
645    0.0
646    0.0
647    0.0
648    0.0
649    0.0
650    0.0
651    0.0
652    0.0
653    0.0
654    0.0
655    0.0
656    0.0
657    0.0
658    0.0
659    0.0
660    0.0
661    0.0
662    0.0
663    0.0
664    0.0
Name: pctcap_home_attend, dtype: float64"
135,17316.0,18200.0,17758.0,41,0.0,0.0,0.0,6,NY Rangers,41,746200,82,1999,0
136,16114.0,17982.0,17048.0,41,0.0,0.0,0.0,7,Buffalo,41,737275,82,1999,0
137,16415.0,17329.0,16872.0,41,0.0,0.0,0.0,8,Chicago,41,710503,82,1999,0
138,15359.0,17281.0,16320.0,41,0.0,0.0,0.0,9,Washington,41,708531,82,1999,0
139,15955.0,17219.0,16587.0,41,0.0,0.0,0.0,10,Ottawa,41,705991,82,1999,0
140,16487.0,16907.0,16697.0,41,0.0,0.0,0.0,11,Dallas,41,693225,82,1999,0
141,15859.0,16903.0,16381.0,41,0.0,0.0,0.0,12,San Jose,41,693029,82,1999,0
142,16535.0,16765.0,16650.0,41,0.0,0.0,0.0,13,Toronto,41,687372,82,1999,0
143,16114.0,16670.0,16392.0,41,0.0,0.0,0.0,14,New Jersey,41,683477,82,1999,0
144,16469.0,16299.0,16384.0,41,0.0,0.0,0.0,15,Boston,41,668290,82,1999,0
145,16060.0,16244.0,16152.0,41,0.0,0.0,0.0,16,Edmonton,41,666011,82,1999,0
146,15987.0,16194.0,16091.0,41,0.0,0.0,0.0,17,Nashville,41,663984,82,1999,0
147,16350.0,16059.0,16205.0,41,0.0,0.0,0.0,18,Colorado,41,658456,82,1999,0
